total_score	I_sc	description
-768.985	-4.457	complex_global_dock_09962
-768.570	-4.454	complex_global_dock_08479
-768.455	-4.453	complex_global_dock_01018
-768.461	-4.452	complex_global_dock_00410
-768.669	-4.452	complex_global_dock_00028
-768.848	-4.451	complex_global_dock_07715
-769.173	-4.450	complex_global_dock_02399
-768.586	-4.446	complex_global_dock_09513
-767.795	-4.442	complex_global_dock_01463
-768.763	-4.442	complex_global_dock_08001
-768.204	-4.440	complex_global_dock_07364
-768.644	-4.440	complex_global_dock_02202
-768.207	-4.438	complex_global_dock_02721
-768.745	-4.437	complex_global_dock_08620
-767.851	-4.434	complex_global_dock_00473
-766.904	-4.433	complex_global_dock_04688
-766.549	-4.432	complex_global_dock_01399
-768.638	-4.429	complex_global_dock_03101
-768.405	-4.427	complex_global_dock_07610
-767.971	-4.426	complex_global_dock_00647
-768.010	-4.426	complex_global_dock_05534
-768.641	-4.425	complex_global_dock_00832
-768.955	-4.425	complex_global_dock_07988
-769.076	-4.425	complex_global_dock_01534
-768.119	-4.423	complex_global_dock_00127
-768.281	-4.422	complex_global_dock_03411
-768.832	-4.419	complex_global_dock_09095
-767.124	-4.417	complex_global_dock_04488
-766.811	-4.414	complex_global_dock_08550
-768.131	-4.413	complex_global_dock_00763
-768.292	-4.409	complex_global_dock_07106
-768.584	-4.409	complex_global_dock_02892
-767.953	-4.407	complex_global_dock_08249
-768.676	-4.404	complex_global_dock_01079
-768.801	-4.403	complex_global_dock_03502
-766.970	-4.399	complex_global_dock_07979
-768.899	-4.399	complex_global_dock_06084
-768.074	-4.397	complex_global_dock_07093
-768.494	-4.395	complex_global_dock_09130
-768.264	-4.393	complex_global_dock_00868
-768.426	-4.393	complex_global_dock_06521
-765.990	-4.392	complex_global_dock_01449
-767.819	-4.390	complex_global_dock_03178
-767.118	-4.388	complex_global_dock_08105
-768.992	-4.388	complex_global_dock_04846
-766.370	-4.386	complex_global_dock_02802
-768.850	-4.384	complex_global_dock_03706
-768.799	-4.382	complex_global_dock_02305
-768.044	-4.381	complex_global_dock_00100
-768.306	-4.381	complex_global_dock_08599
-768.516	-4.381	complex_global_dock_04714
-767.337	-4.379	complex_global_dock_06598
-768.875	-4.378	complex_global_dock_02220
-768.091	-4.376	complex_global_dock_09285
-768.474	-4.373	complex_global_dock_00068
-768.363	-4.370	complex_global_dock_09343
-767.480	-4.367	complex_global_dock_01600
-765.248	-4.362	complex_global_dock_08743
-767.544	-4.361	complex_global_dock_08064
-767.924	-4.360	complex_global_dock_08319
-768.592	-4.359	complex_global_dock_00717
-769.223	-4.359	complex_global_dock_07293
-766.227	-4.357	complex_global_dock_05270
-768.557	-4.356	complex_global_dock_08366
-769.342	-4.355	complex_global_dock_08043
-767.567	-4.354	complex_global_dock_09740
-768.841	-4.353	complex_global_dock_07248
-768.863	-4.353	complex_global_dock_03858
-768.142	-4.351	complex_global_dock_07693
-768.263	-4.348	complex_global_dock_00536
-768.641	-4.348	complex_global_dock_09427
-768.472	-4.347	complex_global_dock_05114
-768.054	-4.345	complex_global_dock_01698
-766.069	-4.344	complex_global_dock_08126
-766.269	-4.344	complex_global_dock_06335
-768.458	-4.342	complex_global_dock_09892
-768.426	-4.336	complex_global_dock_04609
